enlace_producto,enlace_imagen
/pan-blan-arte-550g/p,https://jumbo.vteximg.com.br/arquivos/ids/875890-180-180?width=180&height=180&aspect=true
/yoghurt-colun-origen-120g-natural-1959602001/p,https://jumbo.vteximg.com.br/arquivos/ids/703243-180-180?width=180&height=180&aspect=true
/lays-ar-smar-150g/p,https://jumbo.vteximg.com.br/arquivos/ids/746449-180-180?width=180&height=180&aspect=true
/beb-gas-canada-dry-g-ale-zero-pet-1-75cc-1951500/p,https://jumbo.vteximg.com.br/arquivos/ids/660385-180-180?width=180&height=180&aspect=true
/lechuga-costina-bolsa-2-und-1939675/p,https://jumbo.vteximg.com.br/arquivos/ids/596110-180-180?width=180&height=180&aspect=true
/galleta-oreo-regular-108-gr-1932773/p,https://jumbo.vteximg.com.br/arquivos/ids/901367-180-180?width=180&height=180&aspect=true
/pan-molde-castano-blanco-s-lactosa-770g-1932111/p,https://jumbo.vteximg.com.br/arquivos/ids/703450-180-180?width=180&height=180&aspect=true
/lavalozas-quix-bio-act-conc-rec-1-5ml-1932624/p,https://jumbo.vteximg.com.br/arquivos/ids/586364-180-180?width=180&height=180&aspect=true
/trutro-entero-de-pollo-kg/p,https://jumbo.vteximg.com.br/arquivos/ids/485833-180-180?width=180&height=180&aspect=true
/pechuga-de-pollo-entera-kg/p,https://jumbo.vteximg.com.br/arquivos/ids/485832-180-180?width=180&height=180&aspect=true
/papas-fritas-rusticas-marco-polo-380-gr-1927137/p,https://jumbo.vteximg.com.br/arquivos/ids/484920-180-180?width=180&height=180&aspect=true
/toalla-papel-nova-gigante-dh-100mt-1923549/p,https://jumbo.vteximg.com.br/arquivos/ids/766763-180-180?width=180&height=180&aspect=true
/jamon-serrano-reserva-100-g/p,https://jumbo.vteximg.com.br/arquivos/ids/677910-180-180?width=180&height=180&aspect=true
/huevo-median-gall-lib-18un-col-la-granja-1892387/p,https://jumbo.vteximg.com.br/arquivos/ids/620024-180-180?width=180&height=180&aspect=true
